X,Y
-13194563.3269,4035357.5396
-13194486.7702,4035220.5334
-13194422.9355,4035221.0656
-13194597.705,4035227.1366
-13194611.9985,4035263.808
-13194587.0092,4035161.8322
-13194630.1084,4035120.2859
-13194648.4984,4035096.6362
-13194663.977,4035071.4656
-13194676.7493,4035046.0526
-13194690.402,4035029.147
-13194705.0565,4035004.386
-13194687.1656,4035055.0739
-13194726.0397,4034966.5452
-13194734.6405,4034947.9726
-13194731.3278,4034929.3655
-13194767.519,4034937.4706
-13194732.9171,4034911.8825
-13194756.3926,4034910.7841
-13194784.7371,4034902.7229
-13194740.3332,4034892.0249
-13199348.8259,4035055.6853
-13199355.5805,4035029.111
-13199362.9612,4035005.6268
-13199434.7878,4034860.2152
-13199429.9374,4034886.0942
-13199423.6043,4034908.9324
-13199402.6313,4034923.627
-13199447.2534,4034940.307
-13199425.8386,4034952.0057
-13199411.4459,4034968.2375
-13199396.6066,4034980.2775
-13199377.5563,4034996.1652
-13199323.9035,4035073.8068
-13199305.7719,4035061.5058
-13199284.5893,4035048.313
-13194252.8279,4035984.5106
-13194297.8738,4036044.3375
-13194334.9848,4036051.1968
-13194389.1597,4036033.4283
-13194355.8936,4036025.6024
-13194301.003,4035946.4113
-13194263.8952,4035910.0402
-13194192.6208,4035902.7216
-13194073.8073,4035674.6698
-13194061.6437,4035620.9461
-13194057.8161,4035601.414
-13194055.7566,4035582.1857
-13194074.2646,4035576.0715
-13199957.9063,4034317.542
-13200002.4586,4034359.1776
-13200002.9542,4034477.48
-13200041.0432,4034481.2984
-13209050.5853,4034037.9208
-13208973.5939,4034023.4245
-13208895.403,4034016.4621
-13208856.1953,4034010.2322
-13198872.3779,4035390.729
-13198911.741,4035401.1537
-13198953.501,4035405.1102
-13199068.6128,4035444.3119
-13199108.638,4035395.9744
-13199071.127,4035381.8483
-13198960.6095,4035353.468
-13198921.895,4035343.2096
-13198337.0358,4034338.0763
-13199382.8882,4034935.1915
-13199368.957,4034950.9084
-13199349.3116,4034964.7648
-13199333.7661,4034980.4391
-13200010.4065,4034533.4871
-13200003.3342,4034601.7944
-13199975.013,4034688.6772
-13199956.8359,4034702.9756
-13198407.555,4034382.1739
-13199364.7949,4034876.0016
-13199342.3159,4034888.5454
-13199327.6247,4034904.2885
-13199315.226,4034920.2292
-13199296.102,4034931.661
-13199281.8303,4034950.0717
-13199232.5068,4034970.0851
-13199266.7996,4034968.9873
-13198439.2617,4034400.0822
-13208928.2726,4034090.5257
-13209048.8471,4034100.1864
-13209010.5829,4034106.1548
-13209098.8611,4034039.1535
-13208994.7542,4034029.3629
-13208959.1831,4034032.4401
-13208919.386,4034015.5936
-13208883.0118,4034011.6483
-13208867.1503,4034091.5474
-13208949.3348,4034101.0
-13208971.465,4034102.9411
-13198648.4637,4035222.985
-13198840.9967,4035432.6664
-13198989.731,4035419.8277
-13199030.4716,4035427.184
-13199098.814,4035469.9525
-13199130.0048,4035435.215
-13199033.2653,4035376.1812
-13199002.7631,4035370.6933
-13198885.6104,4035333.3885
-13198844.2652,4035279.078
-13198767.5571,4035216.9231
-13198790.7339,4035153.8937
-13198843.0498,4035180.1549
-13198903.993,4035224.6324
-13198972.7583,4035252.0074
-13199528.6369,4035023.232
-13199508.5455,4035035.8894
-13199491.0982,4035051.6221
-13199471.045,4035066.4081
-13199441.4511,4035131.1483
-13199435.9583,4035153.4914
-13199424.2025441,4035199.54628207
-13199386.1556,4035288.1642
-13199382.5907,4035316.8612
-13199385.5941,4035343.9674
-13199571.5091,4035056.0394
-13199554.2081,4035075.4034
-13199534.2849,4035084.3508
-13199500.355,4035125.7056
-13199480.8963,4035199.2089
-13199458.0583,4035242.0362
-13199439.9326,4035288.8056
-13199930.2805,4034324.1684
-13199977.2339,4034341.7989
-13200008.5806,4034413.0889
-13200001.4355,4034511.1553
-13199992.862,4034620.0985
-13199985.009,4034670.4602
-13199923.1625,4034724.7533
-13207451.251,4034112.8508
-13207761.4346,4034410.9544
-13207624.9401,4034185.7027
-13207630.9454,4034206.228
-13207600.2394,4034204.5599
